211.36.139.140 - - [14/Apr/2021:23:21:28 +0900] "GET /dalboo/resources/css/common/base.css HTTP/1.1" 200 305
211.36.139.140 - - [14/Apr/2021:23:21:28 +0900] "GET /dalboo/resources/css/common/footer.css HTTP/1.1" 200 542
211.36.139.140 - - [14/Apr/2021:23:21:29 +0900] "GET /dalboo/resources/css/common/content.css HTTP/1.1" 200 166
211.36.139.140 - - [14/Apr/2021:23:21:29 +0900] "GET /dalboo/resources/css/common/mainPage.css HTTP/1.1" 200 4101
211.36.139.140 - - [14/Apr/2021:23:21:29 +0900] "GET /dalboo/resources/css/common/header.css HTTP/1.1" 200 447
211.36.139.140 - - [14/Apr/2021:23:21:29 +0900] "GET /dalboo/resources/css/common/nav.css HTTP/1.1" 200 1295
211.36.139.140 - - [14/Apr/2021:23:21:30 +0900] "GET /dalboo/resources/images/logo.png HTTP/1.1" 200 14232
211.36.139.140 - - [14/Apr/2021:23:21:30 +0900] "GET /dalboo/resources/images/smartphone.png HTTP/1.1" 200 760
211.36.139.140 - - [14/Apr/2021:23:21:30 +0900] "GET /dalboo/resources/images/slideImage2.jpg HTTP/1.1" 200 65025
211.36.139.140 - - [14/Apr/2021:23:21:30 +0900] "GET /dalboo/resources/images/mainBeans.png HTTP/1.1" 200 12884
211.36.139.140 - - [14/Apr/2021:23:21:30 +0900] "GET /dalboo/resources/images/dalboofooter.png HTTP/1.1" 200 14232
211.36.139.140 - - [14/Apr/2021:23:21:30 +0900] "GET /dalboo/resources/images/slideImage.JPG HTTP/1.1" 200 93107
211.36.139.140 - - [14/Apr/2021:23:21:30 +0900] "GET /dalboo/resources/images/slideImage3.jpg HTTP/1.1" 200 81300
211.36.139.140 - - [14/Apr/2021:23:21:31 +0900] "GET /dalboo/resources/images/mainCoffeeimg5.jpg HTTP/1.1" 200 83494
211.36.139.140 - - [14/Apr/2021:23:21:32 +0900] "GET /dalboo/howtofind.bo HTTP/1.1" 200 10592
211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/mainMdimg.jpg HTTP/1.1" 200 98304
